kind,pair,class,pred_area,gt_area,iou,dice,precision,recall,boundary_f1
pair,fdk_pos1_000193,shell,6589,9910,0.660527,0.795563,0.996054,0.66226,0.89976
pair,fdk_pos1_000193,kernel,21466,24954,0.833551,0.90922,0.98309,0.845676,0.733532
pair,fdk_pos1_000193,septa,6562,2922,0.242662,0.390553,0.282231,0.633812,0.572464
pair,fdk_pos1_000226,shell,7031,10372,0.673687,0.805034,0.996302,0.675376,0.893244
pair,fdk_pos1_000226,kernel,16542,18821,0.844032,0.91542,0.978479,0.859997,0.755439
pair,fdk_pos1_000226,septa,5947,3038,0.290763,0.450529,0.34034,0.666228,0.665463
pair,fdk_pos1_000245,shell,6939,10206,0.678907,0.808749,0.999135,0.679306,0.876838
pair,fdk_pos1_000245,kernel,15032,18113,0.809521,0.894735,0.986429,0.818639,0.684309
pair,fdk_pos1_000245,septa,6626,3080,0.280644,0.438286,0.321008,0.690584,0.639974
pair,fdk_pos1_000248,shell,6886,9748,0.703082,0.825658,0.997241,0.704452,0.91136
pair,fdk_pos1_000248,kernel,15579,17772,0.824054,0.903541,0.967135,0.847794,0.700038
pair,fdk_pos1_000248,septa,6415,2533,0.232507,0.377291,0.263133,0.666403,0.629658
mean,__mean__,shell,0,0,0.679051,0.808751,0.997183,0.680349,0.8953
mean,__mean__,kernel,0,0,0.827789,0.905729,0.978783,0.843026,0.71833
mean,__mean__,septa,0,0,0.261644,0.414164,0.301678,0.664257,0.62689
macro,__macro__,all,0,0,0.589495,0.709548,0.759215,0.729211,0.74684
